Subject,Title,Price,Rating,ReviewCount,URL,Sold By
printer,"Canon PIXMA G2020 NV All in One (Print, Scan, Copy) Inktank Colour Printer (Black 6000 Prints & Colour 7700 Prints) for High Volume Office/Home Printing. (Print Speed- Black 9.1 ipm, Colour 5.0 ipm)","₹10,599",4.2,"1,721",https://www.amazon.in/Canon-G2020-NV-Colour-Printer/dp/B08VTDBGQK/ref=sr_1_29?keywords=printer&qid=1696919287&sr=8-29,Appario Retail Private Ltd
printer,"Canon PIXMA E560 All in One (Print, Scan, Copy) WiFi Ink Efficient Colour Printer with Auto Duplex Printing for Home","₹6,899",3.7,"2,014",https://www.amazon.in/Canon-E560-Multifunction-Efficient-Auto-Duplex/dp/B00JXJ4QRW/ref=sr_1_30?keywords=printer&qid=1696919287&sr=8-30,Appario Retail Private Ltd
printer,Canon Pixma E410 All-in-One Inkjet Printer (Black),"₹4,299",3.8,470,https://www.amazon.in/Canon-Pixma-E410-Inkjet-Printer/dp/B01M8JVYFE/ref=sr_1_31?keywords=printer&qid=1696919287&sr=8-31,Appario Retail Private Ltd
printer,"HP Ink Advantage Ultra 4826 Print, Copy, Scan, Print per Page (44p for B/W and 81p for Colour), Self Reset Dual Band WiFi, 2 Sets of Inbox Cartridges, Smart App Setup, Ideal for Home","₹7,599",4.0,"1,028",https://www.amazon.in/HP-Deskjet-Advantage-self-Reset-42-4X55-5X24-5/dp/B09HXR44XS/ref=sr_1_32?keywords=printer&qid=1696919287&sr=8-32,Appario Retail Private Ltd
mouse,"ZEBRONICS Zeb-Comfort Wired USB Mouse, 3-Button, 1000 DPI Optical Sensor, Plug & Play, for Windows/Mac, Black",₹99,3.8,"4,733",https://www.amazon.in/ZEBRONICS-Zeb-Comfort-3-Button-Optical-Windows/dp/B079Y6JZC8/ref=sr_1_1?keywords=mouse&qid=1696919471&sr=8-1,Appario Retail Private Ltd
mouse,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black",₹449,4.3,"68,772",https://www.amazon.in/Logitech-B170-Wireless-Mouse-Black/dp/B01J0XWYKQ/ref=sr_1_2?keywords=mouse&qid=1696919471&sr=8-2,Appario Retail Private Ltd
mouse,"Dell MS116 Wired Optical Mouse, 1000Dpi, Led Tracking, Scrolling Wheel, Plug and Play",₹269,4.4,"37,478",https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=sr_1_3?keywords=mouse&qid=1696919471&sr=8-3,Appario Retail Private Ltd
mouse,"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(Black)",₹278,4.0,"7,322",https://www.amazon.in/Portronics-Wireless-Optical-Orientation-Adjustable/dp/B0B296NTFV/ref=sr_1_4?keywords=mouse&qid=1696919471&sr=8-4,Appario Retail Private Ltd
mouse,"Zebronics Zeb-Power Wired USB Mouse, 3-Button, 1200 DPI Optical Sensor, Plug & Play, for Windows/Mac",₹99,4.0,"7,289",https://www.amazon.in/Zebronics-Zeb-Power-Wired-Mouse-Black/dp/B07L9FW9GF/ref=sr_1_5?keywords=mouse&qid=1696919471&sr=8-5,Appario Retail Private Ltd
mouse,Redgear A-20 Wired Gaming Mouse with RGB and Upto 4800 dpi for Windows PC Gamers.,₹229,4.2,"3,294",https://www.amazon.in/Redgear-Gaming-Mouse-Upto-4800/dp/B07N6LN57W/ref=sr_1_6?keywords=mouse&qid=1696919471&sr=8-6,Appario Retail Private Ltd
mouse,"HP Wired Mouse 100 with 1600 DPI Optical Sensor, USB Plug-and -Play,ambidextrous Design, Built-in Scrolling and 3 Handy Buttons. 3-Years Warranty (6VY96AA)",₹229,4.1,"4,356",https://www.amazon.in/HP-Wired-Mouse-100-6VY96AA/dp/B083RD1J99/ref=sr_1_7?keywords=mouse&qid=1696919471&sr=8-7,Appario Retail Private Ltd
mouse,"ZEBRONICS-Transformer-M with a High-Performance Gold-Plated USB Mouse: 6 Buttons, Multi-Color LED Lights,High-Resolution Sensor with max 3600 DPI, and DPI Switch(Black)",₹299,4.3,"21,498",https://www.amazon.in/Zebronics-Zeb-Transformer-M-Optical-Gaming-Effect/dp/B0819HZPXL/ref=sr_1_8?keywords=mouse&qid=1696919471&sr=8-8,Appario Retail Private Ltd
mouse,"Portronics Toad 101 Wired Optical Mouse with 1200 DPI, Plug & Play, Hi-Optical Tracking, 1.25M Cable Length, 30 Million Click Life(Black)",₹119,3.9,302,https://www.amazon.in/Portronics-Optical-Hi-Optical-Tracking-Million/dp/B0BRKSQ7Z2/ref=sr_1_9?keywords=mouse&qid=1696919471&sr=8-9,Appario Retail Private Ltd
mouse,"ZEBRONICS Newly Launched PHERO Wired Gaming Mouse with up to 1600 DPI, Rainbow LED Lights, DPI Switch, High Precision, Plug & Play, 4 Buttons",₹199,4.3,"21,498",https://www.amazon.in/ZEBRONICS-Launched-Rainbow-Precision-Buttons/dp/B0CG13FJ5M/ref=sr_1_10?keywords=mouse&qid=1696919471&sr=8-10,Appario Retail Private Ltd
mouse,"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC/Mac/Laptop - Charcoal Grey",₹699,4.4,"38,504",https://www.amazon.in/Logitech-Silent-Wireless-Mouse-Charcoal/dp/B01M72LILF/ref=sr_1_11?keywords=mouse&qid=1696919471&sr=8-11,Appario Retail Private Ltd
mouse,Razer DeathAdder Essential Wired Gaming Mouse I Single-Color Green Lighting I 6400DPI Optical Sensor- Black - RZ01-03850100-R3M1,₹998,4.4,"21,683",https://www.amazon.in/Razer-DeathAdder-RZ01-02540100-R3M1-Essential-Optical/dp/B07F2GC4S9/ref=sr_1_12?keywords=mouse&qid=1696919471&sr=8-12,Appario Retail Private Ltd
