Subject,Title,Price,Rating,ReviewCount,URL,Sold By
refrigerator,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)","₹25,000",4.2,"4,573",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODU0MjY5MzE3MTE4NjQ4OjE2OTcwMDYxMzc6c3BfYXRmOjIwMDc3MjE3OTI4OTk4OjowOjo&url=%2FLG-Inverter-Frost-Free-Refrigerator-GL-I292RPZX%2Fdp%2FB08X72GY5Q%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Drefrigerator%26qid%3D1697006137%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,DAWNTECH ELECTRONICS PRIVATE LIMITED
refrigerator,"LG 242 L 2 Star Frost-Free Smart Inverter Double Door Refrigerator (2023 Model, GL-N292DPZY, Shiny Steel, Smart Connect & Multi Air Flow)","₹23,990",3.8,50,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODU0MjY5MzE3MTE4NjQ4OjE2OTcwMDYxMzc6c3BfYXRmOjMwMDAxMTI1NjcyNDUzMjo6MDo6&url=%2FLG-Frost-Free-Inverter-Refrigerator-GL-N292DPZY%2Fdp%2FB0C94BTFHN%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Drefrigerator%26qid%3D1697006137%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,DAWNTECH ELECTRONICS PRIVATE LIMITED
refrigerator,"Samsung 189 L 5 Star Digi-Touch Cool Digital Inverter with Display Direct-Cool Single Door Refrigerator (RR21C2F25HS/HL, Hydrangea Blue, Base Stand Drawer, 2023 Model)","₹17,890",4.3,859,https://www.amazon.in/Samsung-Digi-Touch-Refrigerator-RR21C2F25HS-HL/dp/B0BR3WVPXP/ref=sr_1_3?keywords=refrigerator&qid=1697006137&sr=8-3,DAWNTECH ELECTRONICS PRIVATE LIMITED
refrigerator,"Samsung 256 L 3 Star Convertible, Digital Inverter with Display Frost Free Double Door Refrigerator (RT30C3733BX/HL, Luxe Black, 2023 Model)","₹29,455",4.3,"2,144",https://www.amazon.in/Samsung-Convertible-Refrigerator-RT30C3733BX-HL/dp/B0C2TNX58Q/ref=sr_1_4?keywords=refrigerator&qid=1697006137&sr=8-4,DAWNTECH ELECTRONICS PRIVATE LIMITED
refrigerator,"Samsung 653 L 3 Star Convertible 5-in-1 Digital Inverter Side By Side WiFi Embedded Refrigerator (RS76CG8003S9HL, Silver, Refined Inox, 2023 Model)","₹81,990",4.3,"1,623",https://www.amazon.in/Samsung-Convertible-Inverter-Refrigerator-RS76CG8003S9HL/dp/B0BQC4Y4TP/ref=sr_1_5?keywords=refrigerator&qid=1697006137&sr=8-5,DAWNTECH ELECTRONICS PRIVATE LIMITED
refrigerator,"LG 240 L 3 Frost-Free Smart Inverter Double Door Refrigerator ( GL-S292RDSX, Dazzle Steel, Convertible & Multi Air Flow Cooling)","₹25,990",4.2,"4,573",https://www.amazon.in/LG-Frost-Free-Refrigerator-GL-S292RDSX-Convertible/dp/B08X711N4H/ref=sr_1_6?keywords=refrigerator&qid=1697006137&sr=8-6,DAWNTECH ELECTRONICS PRIVATE LIMITED
refrigerator,"LG 246 L 3 Frost-Free Smart Inverter Compressor Double Door Refrigerator (2023 Model, GL-S262SPZX, Shiny Steel, Convertible & Multi Air Flow Cooling)","₹26,990",3.9,21,https://www.amazon.in/LG-Frost-Free-Refrigerator-%E2%80%8EGL-S262SPZX-Convertible/dp/B0BS6X3TGX/ref=sr_1_7?keywords=refrigerator&qid=1697006137&sr=8-7,DAWNTECH ELECTRONICS PRIVATE LIMITED
refrigerator,"Samsung 363 L 2 Star Convertible 5-in-1 Digital Inverter with Display Frost Free Double Door Refrigerator (RT39C5532S8/HL, Silver, Elegant Inox, 2023 Model)","₹40,490",4.1,496,https://www.amazon.in/Samsung-Convertible-Refrigerator-RT39C5532S8-HL/dp/B0BR3XL2VX/ref=sr_1_8?keywords=refrigerator&qid=1697006137&sr=8-8,DAWNTECH ELECTRONICS PRIVATE LIMITED
refrigerator,"Haier 240 L 2 Star Frost Free Double Door Top Mount Refrigerator Appliance (2023 Model, HEF-252EGS-P, Moon Silver)","₹19,990",4.2,586,https://www.amazon.in/Haier-Double-Refrigerator-HEF-252EGS-P-Silver/dp/B0BTHLGVQ6/ref=sr_1_9?keywords=refrigerator&qid=1697006137&sr=8-9,DAWNTECH ELECTRONICS PRIVATE LIMITED
refrigerator,"Bosch MaxFlex Convert 332L Inverter Frost Free Triple Door Refrigerator ( CMC33WT5NI,Convertible,Candy Red)","₹42,090",4.4,72,https://www.amazon.in/Bosch-Inverter-Refrigerator-CMC33WT5NI-Convertible/dp/B0B7JGPCK4/ref=sr_1_10?keywords=refrigerator&qid=1697006137&sr=8-10,Authorized Seller - INDIA
